"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","13.7283185562234","8.35372754425218","11.4180637610575","14.2546768180605","13.3864442139578","13.906028173072","14.1968893463496","14.0728965183752","14.0575732190524","17.5057063846976","21.104559839838","19.5926033985971","20.1979115796951","20.8107917938397","21.484808836741","22.878190439802","22.4466391322843","24.0087114615132","24.8676501147129","26.2049500333029","28.9521640750639","28.827915737296","25.6338800863882","25.9368786504287","26.2325061615944","27.8851595216238","30.5539892604712","40.2671476674779","42.740177242997","43.9885771769768","45.6229943594212","47.4210681471904","50.4759985553139","50.2819117580457","51.1876270713566","54.8817155926531","58.7459016095395","59.8117683130297","60.7424608294873","61.399914294208","63.3375540979273","64.5065520747659","54.9691444990129","55.8375416123996","54.8325562875275","54.8702535060565","57.7630649896826","56.6372785923275","54.117700850947","51.2185633263359","48.7974312513377","",
"Bulgaria","BGR","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5305821665439","76.3899402390438","78.9678822348612","79.7028158295282","46.1268016903966","60.2352662542253","31.2494926403493","25.1198165323874","30.0908048481216","35.0458953069311","40.066239654267","40.9402398805097","45.7609660114082","50.4620036597392","53.724229665544","59.8066319263632","66.2925103042015","62.8989652003611","65.223769433968","67.7561581324032","70.1645074084222","74.6848837263894","81.7437226898144","80.8176928164681","82.5791955480068","83.4760233880348","83.4873032057985","85.1420960963747","85.6142901530476","93.9180132107937","90.1390721601653","84.5677375255827","83.7092083989684","82.1247538497719","",
"Bahrain","BHR","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","30.2662332882713","36.4823932729358","37.5172458496886","32.7565314581073","35.4479663735606","42.379859135738","48.5571321062373","45.9681438153684","49.1014605387876","42.8723972461163","42.6374410920653","51.3111619845463","28.4184999952325","53.7266509197275","49.5733290535713","57.8563201885702","67.8290765172113","66.7803779707291","63.6553475606306","63.7140015936401","51.4680536002516","58.1045531935549","59.1994227760647","57.1836744166884","56.6071875915976","57.8792999483374","57.2063478507164","59.2927463954376","71.0802541913407","69.1241374408433","63.2899505524335","69.806373238915","72.0670555229044","66.3963180784462","58.236755834803","58.5041409673617","58.005487374583","68.8086868825332","69.5995779586855","82.5448098905826","78.0579518903071","72.3253721576967","70.432941928269","72.0192615413165","74.614879226462","82.1252522741472","","","","","","","","","","",
"Bahamas, The","BHS","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","37.2749211063672","34.0315106580167","32.9961632368329","34.6082247419191","30.9136980175883","32.9696394686907","38.3428379738343","42.5634636349478","39.3548387096774","38.2388274867852","32.2249489186744","31.5434733767693","32.7655099894848","34.2203636824431","35.2435364727609","32.7176522463378","30.452020099626","31.4095045500506","33.0950638575926","34.5470030874055","34.3043762246897","38.7586860391661","42.058267655794","44.3969121904149","51.8402328589909","53.476526541884","55.1706036745407","55.3671377112774","38.9637354793473","41.9728912577087","41.2695685897861","42.9197409264196","43.7205376883153","42.1679150020943","43.7729493161851","46.8311892827287","47.784713608914","49.8168137893727","52.7229303262092","55.9804294128824","60.0142657353866","62.6146504888191","64.3066306474884","62.1986452614641","64.0010400705469","61.1239748792093","57.3012497794316","62.1149963950542","60.3619123301384","59.2254539138168","63.2407973748588","80.8052358384476","72.5873043974412","68.758904994747","","","",
"Bosnia and Herzegovina","BIH","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.4779157304897","25.1783812772668","27.0364490272354","21.8926628587607","36.2866060669783","36.2690466942447","37.3176723312036","42.7022307020932","45.7503518048637","49.3677830561499","53.012614165276","48.7445903658457","51.2493933046102","53.7242906558004","54.9625473876933","56.8579492253314","60.0983407320841","63.120450052242","64.4586707516122","66.7354653207651","69.5421267426485","71.2722751822106","73.5860907463056","81.3447237207056","80.5091564949746","72.866041517703","71.6960598657418","","",
"Belarus","BLR","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.0052992749958","14.7726667380542","14.2499401060264","15.7509625439577","30.9405445617173","16.7029599473111","17.6675021579189","14.9202713314933","14.6089847426956","16.1186162169628","17.6818998315724","19.3194242558835","22.0846831594484","25.2209559379737","23.8546185862172","26.8187235249449","29.4840203724149","36.1910930690491","29.4537701826843","28.8221408448184","29.7151774519675","36.3629729392154","35.7402034226534","37.6824804445939","35.3441913281344","36.0045556596648","33.9302611928336","30.7280369065859","","","","",
"Belize","BLZ","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","33.1235539102267","31.2069698257544","34.0902421129861","31.5998023715415","21.017094017094","22.590987535954","25.1597264131965","28.2584398245279","26.6282073359738","29.1910894535329","31.9576243980738","32.5586095392078","29.9100723692016","29.2475055996742","30.2509783308294","30.5184284898106","29.5688274295692","28.242943900085","29.833073779731","33.2468533555097","34.4320283519833","37.4119023243988","37.2198069634798","40.0425402069124","39.5401489502899","42.3136429513829","41.0399593765492","40.9447440638197","43.2887183420678","43.8156549583178","47.3068611066802","50.8765052723159","56.5627646901246","62.0010478463507","59.7710241371527","60.0899626275547","63.7299723736603","60.8437391816382","62.4825588534825","65.5262151735642","65.8652276415981","64.8573233460351","65.9980677306884","66.2980328276074","86.3046097948473","81.7689753194862","72.1903705376197","72.8543535166111","75.911327251465","",
"Bermuda","BMU","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","9.70082607724939","10.5316091954023","10.9780364182467","12.231520223152","13.1951106297385","13.857938718663","15.7635220125786","14.9515536251253","14.8400706436421","15.0950742484607","15.8351266346631","17.3532575291948","17.0113636363636","14.9406457739791","12.9657830866606","13.9546531443535","18.1142188157389","19.8432975642991","19.2560038296854","18.4362044119277","20.7839365804115","20.3636250363417","27.1189788658715","21.1071215317862","20.9511179003562","12.1420479980102","10.7361999837863","17.8266066226337","18.8431814671335","19.4778509589239","24.4743037788536","29.7776593940152","34.8010262193987","41.8787066387135","46.0375691038907","42.4922259133467","51.0278982209993","54.7179177861923","55.1987792417582","55.4037082624968","52.1769138021437","63.478429025317","56.7448767192623","59.3469065277089","50.0696742124679","51.5273082664293","53.36272918429","60.333265491656","64.207384597071","70.1103985691524","69.7187384776906","71.1065192908019","75.3900148041806","78.6599622330564","84.5230679036935","95.6178161105184","92.9693808824292","75.5697135966742","74.6494677895611","72.5212477557551","91.8796298152777","86.3648968970226","","","","",
"Brazil","BRA","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","21.9317537396174","21.8578056999365","22.2618824718267","20.3875654892367","18.5705129807228","19.8162299582071","16.3022185674278","18.7586823324962","19.3520938598711","19.3494055322413","19.4081470928611","20.1319326422213","18.7546455329118","18.1699446212164","16.9096613214884","17.1507371368301","15.3002233080735","14.5207866587508","14.5690962575126","15.2988406764672","11.7686507130263","11.5299152374023","10.4682104319165","10.9858330200478","12.785222194119","14.3689168067947","20.8799625638871","20.6593216072822","80.4476356609773","111.325303911187","30.3945142169109","35.0296013245953","60.9324088168595","93.658846471248","45.4613037988532","32.4485468783574","35.118481561031","36.9651290494395","39.3317317429728","42.811054211001","46.4865878068579","58.6361717166178","55.0049821725667","56.5263637979904","56.3320651091779","60.1330444582565","63.249779479687","68.3591986273479","70.4894529705898","76.0904194424089","74.2193801449518","76.825275139619","79.0528620279344","78.6265278073102","81.9065640139893","88.0696276484348","93.8211379340118","93.0595991988879","93.7130340305506","96.0578504271936","109.154217103739","103.465634484097","104.30221431858","110.18453926273","116.394564561316","",
